case:concept:name,id_event,sort_order,time,text,concept:name,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break,cumgoal,date,result,time:timestamp,@@index
16 Chelsea vs Crystal Palace,lAGdkX5Q92,92,1:24:00,"Substitution      Substitution, Crystal Palace. Lee Chung-yong replaces Bakary Sako.",교체,,원정팀,Crystal Palace,Chelsea,,,lee chungyong,bakary sako,,,0,,,없음,,0,2,2015-08-29 00:00:00+00:00,승,2015-08-29 01:24:00+00:00,673773
16 Chelsea vs Crystal Palace,lAGdkX5Q93,93,1:24:00,Cesc Fabregas (Chelsea) wins a free kick in the defensive half.,수비지역프리킥시도,,홈팀,Chelsea,Crystal Palace,cesc fabregas,,,,,,0,수비지역,,없음,,0,1,2015-08-29 00:00:10+00:00,패,2015-08-29 01:24:10+00:00,673774
16 Chelsea vs Crystal Palace,lAGdkX5Q94,94,1:24:00,Foul by Connor Wickham (Crystal Palace).,파울,,원정팀,Crystal Palace,Chelsea,connor wickham,,,,,,0,,,없음,,0,2,2015-08-29 00:00:20+00:00,승,2015-08-29 01:24:20+00:00,673775
16 Chelsea vs Crystal Palace,lAGdkX5Q95,95,1:24:00,Attempt saved. Falcao (Chelsea) header from the centre of the box is saved in the centre of the goal. Assisted by Pedro with a cross.,패널티박스중앙슈팅시도,키패스,홈팀,Chelsea,Crystal Palace,falcao,pedro,,,정면,유효슈팅,0,패널티박스중앙,머리,크로스,필드,0,1,2015-08-29 00:00:30+00:00,패,2015-08-29 01:24:30+00:00,673776
16 Chelsea vs Crystal Palace,lAGdkX5Q96,96,1:25:00,Attempt saved. Kenedy (Chelsea) left footed shot from outside the box is saved in the bottom left corner. Assisted by Ruben Loftus-Cheek.,패널티바깥쪽슈팅시도,키패스,홈팀,Chelsea,Crystal Palace,kenedy,ruben loftuscheek,,,좌측하단,유효슈팅,0,패널티바깥쪽,왼발,패스,필드,0,1,2015-08-29 00:00:00+00:00,패,2015-08-29 01:25:00+00:00,673777
16 Chelsea vs Crystal Palace,lAGdkX5Q97,97,1:28:00,Attempt blocked. Falcao (Chelsea) right footed shot from outside the box is blocked. Assisted by Kenedy.,패널티바깥쪽슈팅시도,키패스,홈팀,Chelsea,Crystal Palace,falcao,kenedy,,,막힘,차단,0,패널티바깥쪽,오른발,패스,필드,0,1,2015-08-29 00:00:00+00:00,패,2015-08-29 01:28:00+00:00,673778
16 Chelsea vs Crystal Palace,lAGdkX5Q98,98,1:28:00,Falcao (Chelsea) wins a free kick in the attacking half.,공격지역프리킥시도,,홈팀,Chelsea,Crystal Palace,falcao,,,,,,0,공격지역,,없음,,0,1,2015-08-29 00:00:10+00:00,패,2015-08-29 01:28:10+00:00,673779
16 Chelsea vs Crystal Palace,lAGdkX5Q99,99,1:28:00,Foul by James McArthur (Crystal Palace).,파울,,원정팀,Crystal Palace,Chelsea,james mcarthur,,,,,,0,,,없음,,0,2,2015-08-29 00:00:20+00:00,승,2015-08-29 01:28:20+00:00,673780
16 Chelsea vs Crystal Palace,lAGdkX5Q100,100,1:29:00,Attempt blocked. Branislav Ivanovic (Chelsea) right footed shot from the centre of the box is blocked.,패널티박스중앙슈팅시도,,홈팀,Chelsea,Crystal Palace,branislav ivanovic,,,,막힘,차단,0,패널티박스중앙,오른발,없음,필드,0,1,2015-08-29 00:00:00+00:00,패,2015-08-29 01:29:00+00:00,673781
16 Chelsea vs Crystal Palace,lAGdkX5Q101,101,1:30:00,Attempt saved. Cesc Fabregas (Chelsea) right footed shot from outside the box is saved in the bottom right corner. Assisted by Kenedy.,패널티바깥쪽슈팅시도,키패스,홈팀,Chelsea,Crystal Palace,cesc fabregas,kenedy,,,우측하단,유효슈팅,0,패널티바깥쪽,오른발,패스,필드,0,1,2015-08-29 00:00:00+00:00,패,2015-08-29 01:30:00+00:00,673782
