id_odsp,event_team,cumgoal
jiZlsa2o/,Juventus,4
jiZlsa2o/,Parma,1
KzeGXkUc/,Real Betis,1
KzeGXkUc/,Mallorca,0
lxhhtJHi/,Udinese,2
lxhhtJHi/,Lecce,0
QFOnTxm8/,Nice,0
QFOnTxm8/,Montpellier,1
tjqPVTbA/,Rayo Vallecano,0
tjqPVTbA/,Real Zaragoza,0
tYsKPcXA/,Siena,0
tYsKPcXA/,Catania,0
vRp5wH1A/,AS Roma,1
vRp5wH1A/,Cagliari,2
vseKzcPK/,Nurnberg,2
vseKzcPK/,FC Cologne,1
WMzXMeHT/,Fiorentina,2
WMzXMeHT/,Bologna,0
YuSfRGHK/,Brest,0
YuSfRGHK/,Paris Saint-Germain,1
lb7VXT8t/,SC Freiburg,1
lb7VXT8t/,VfB Stuttgart,2
2TeFpTD3/,Mallorca,0
2TeFpTD3/,Malaga,1
8U26nkqi/,Real Sociedad,0
8U26nkqi/,Sevilla,1
CIiCOoip/,Sporting Gijon,0
CIiCOoip/,Valencia,1
CKtIYXOm/,Valenciennes,4
CKtIYXOm/,Dijon FCO,0
CYq2kdvE/,Nurnberg,1
CYq2kdvE/,Werder Bremen,1
EXndVh9j/,Internazionale,0
EXndVh9j/,AS Roma,0
I11QzFoT/,Novara,1
I11QzFoT/,Cagliari,2
j9jGN56j/,Osasuna,0
j9jGN56j/,Barcelona,8
lboqICv7/,Lille,2
lboqICv7/,Sochaux,2
przaTEHf/,Bayer Leverkusen,1
przaTEHf/,FC Cologne,4
rc0vW7wg/,TSG Hoffenheim,3
rc0vW7wg/,VfL Wolfsburg,1
roxEZD9s/,Bordeaux,2
roxEZD9s/,Toulouse,3
SlpmHWgD/,St Etienne,0
SlpmHWgD/,Lorient,3
tAT7Rhn7/,Borussia Monchengladbach,1
tAT7Rhn7/,Hamburg SV,0
UeVsKY9f/,Montpellier,2
UeVsKY9f/,Brest,2
WMdzXmOn/,Kaiserslautern,3
WMdzXmOn/,Mainz,1
xKarVRha/,Hertha Berlin,2
xKarVRha/,FC Augsburg,2
zZVwLEfl/,AJ Auxerre,1
zZVwLEfl/,Caen,1
4bcMyeWM/,Bologna,0
4bcMyeWM/,Lecce,2
8nUoJhP0/,Paris Saint-Germain,2
8nUoJhP0/,Evian Thonon Gaillard,2
AgaNr7rG/,Real Zaragoza,2
AgaNr7rG/,Espanyol,1
bov3SYW0/,Bayern Munich,2
bov3SYW0/,Schalke 04,0
CpxqkfoG/,Fiorentina,0
CpxqkfoG/,Udinese,2
GIrziGG3/,Chievo Verona,1
GIrziGG3/,Parma,2
h2MZsRcM/,Rayo Vallecano,1
h2MZsRcM/,Getafe,0
K0SBQC1D/,Hannover 96,2
K0SBQC1D/,Borussia Dortmund,1
MZ7HxyHG/,Palermo,0
MZ7HxyHG/,Atalanta,1
r5pShxni/,Lazio,1
r5pShxni/,Genoa,2
tKfJqmT9/,Athletic Bilbao,1
tKfJqmT9/,Real Betis,3
txjnvf1Q/,Stade Rennes,1
txjnvf1Q/,AS Nancy Lorraine,1
ULnvjzW9/,Juventus,1
ULnvjzW9/,Siena,0
WO9qTRrT/,Atletico Madrid,4
WO9qTRrT/,Racing Santander,0
zRBvsoDS/,Levante,1
zRBvsoDS/,Real Madrid,0
zslhWYgp/,Catania,1
zslhWYgp/,Cesena,0
EXbpbSSd/,Granada,0
EXbpbSSd/,Real Sociedad,1
hOclcnr3/,Villarreal,2
hOclcnr3/,Mallorca,0
p01Ezqjd/,Osasuna,0
p01Ezqjd/,Sevilla,0
xhgZWBg0/,Lille,1
xhgZWBg0/,Bordeaux,1
YNlZ3g09/,Novara,3
YNlZ3g09/,Internazionale,1
692AyPzj/,Valencia,2
692AyPzj/,Barcelona,2
80uWsCwj/,Genoa,3
80uWsCwj/,Catania,0
8jApU9wJ/,AJ Auxerre,1
8jApU9wJ/,Lorient,1
ba7Bnigm/,St Etienne,1
ba7Bnigm/,Toulouse,1
CEmw3DFF/,Palermo,3
CEmw3DFF/,Cagliari,2
Cn36x5Lq/,Sporting Gijon,0
Cn36x5Lq/,Atletico Madrid,4
fgaelE0M/,Lazio,2
fgaelE0M/,Cesena,1
fT3UXivf/,AC Ajaccio,1
fT3UXivf/,Montpellier,3
GnfU4Zp3/,AC Milan,1
GnfU4Zp3/,Udinese,1
ID5ukOkq/,Real Madrid,0
ID5ukOkq/,Racing Santander,0
KzqzsWhd/,Juventus,1
KzqzsWhd/,Bologna,1
lQHyggGJ/,Evian Thonon Gaillard,0
lQHyggGJ/,Marseille,2
nochd6c9/,Malaga,1
nochd6c9/,Athletic Bilbao,0
OS3amYFS/,Chievo Verona,1
OS3amYFS/,Napoli,0
pd37mXws/,Paris Saint-Germain,2
pd37mXws/,Nice,1
QLDDg4sS/,Rayo Vallecano,1
QLDDg4sS/,Levante,2
QyjRrhOq/,Parma,0
QyjRrhOq/,Fiorentina,3
SGGuhDVP/,Valenciennes,1
SGGuhDVP/,AS Nancy Lorraine,1
tOdGoB8g/,Stade Rennes,6
tOdGoB8g/,Sochaux,2
UaBtVkOC/,Brest,0
UaBtVkOC/,Dijon FCO,1
xdeQ5FVd/,Lecce,1
xdeQ5FVd/,Atalanta,2
0l1deQCF/,Real Zaragoza,3
0l1deQCF/,Real Betis,4
6yms2XUL/,AS Roma,1
6yms2XUL/,Siena,1
rDj1fpSL/,Getafe,0
rDj1fpSL/,Espanyol,1
OKJBQ37U/,VfB Stuttgart,1
OKJBQ37U/,Hamburg SV,2
00o3l4Ui/,Dijon FCO,1
00o3l4Ui/,Nice,1
0MASHCU8/,AC Milan,1
0MASHCU8/,Cesena,0
4lz9Q0xo/,Lyon,3
4lz9Q0xo/,Bordeaux,1
AHF7RqhO/,Mainz,1
AHF7RqhO/,Borussia Dortmund,2
AmIzq9hC/,Caen,4
AmIzq9hC/,Evian Thonon Gaillard,2
dSvCnra4/,Toulouse,1
dSvCnra4/,AS Nancy Lorraine,0
fqAWGWqF/,Fiorentina,0
fqAWGWqF/,Napoli,0
hC7urT7I/,Lorient,1
hC7urT7I/,Lille,1
I76xqoNb/,FC Augsburg,0
I76xqoNb/,Hannover 96,0
j1Ij9qsF/,Villarreal,1
j1Ij9qsF/,Athletic Bilbao,1
jkvGo2EA/,Marseille,1
jkvGo2EA/,Valenciennes,1
KSMfUo85/,Bayern Munich,3
KSMfUo85/,Bayer Leverkusen,0
M9nakpFo/,Paris Saint-Germain,3
M9nakpFo/,Montpellier,0
MXdukFe0/,Rayo Vallecano,2
MXdukFe0/,Real Madrid,6
vH7YqR7h/,Borussia Monchengladbach,1
vH7YqR7h/,Nurnberg,0
vTglm2Ke/,Atletico Madrid,0
vTglm2Ke/,Barcelona,5
Wj8Up7hn/,Kaiserslautern,0
Wj8Up7hn/,VfL Wolfsburg,1
